episode,reward
0,-106.79929078227903
96,-101.41637012611719
192,-96.03698739036221
288,-100.4439902735842
384,-97.09332875928354
480,-108.97371926064092
576,-104.22422317118605
672,-100.89862453406647
768,-99.18807117291632
864,-103.30011119381099
960,-108.1615558687798
1056,-101.10429429709131
1152,-105.2719129325584
1248,-103.97993619315776
1344,-102.9066720229213
1440,-106.24336597024369
1536,-104.75440911839291
1632,-101.09096569638851
1728,-99.8049779593663
1824,-101.40496072931492
1920,-102.50137610028531
2016,-104.94481726032122
2112,-103.84447811144119
2208,-97.16007154749943
2304,-102.66535959346251
2400,-105.0097511209041
2496,-105.34788466772514
2592,-105.63327566617465
2688,-102.65339336500027
2784,-103.79555299934617
2880,-101.47421892518912
2976,-99.56580281366354
3072,-105.79170193204492
3168,-103.64562517281384
3264,-100.96407682037156
3360,-107.51077945057477
3456,-104.2164119345812
3552,-98.72814886973609
3648,-101.92057262917189
3744,-104.10892873702252
3840,-102.26056454158243
3936,-100.13709022464037
4032,-104.06028799247218
4128,-100.99338255331271
4224,-103.98619669139848
4320,-105.42905944948379
4416,-104.731879510706
4512,-104.79159164139597
4608,-104.02477356621038
4704,-101.22019514029878
4800,-105.93603513958871
4896,-103.21689601757697
4992,-101.39750798098977
5088,-102.11093412776235
5184,-103.11368762121695
5280,-102.57083051117915
5376,-102.29675961321458
5472,-101.63841090628071
5568,-106.0342493302594
5664,-108.3342112899212
5760,-106.5489097410368
5856,-105.63536128916154
5952,-105.1007230045829
6048,-100.31820146544496
6144,-98.82423662891479
6240,-98.2739336172404
6336,-100.94271488475118
6432,-102.96601176829915
6528,-103.40001429669314
6624,-105.4804863293841
6720,-99.29688004943702
6816,-102.29727506143153
6912,-102.71824673483707
7008,-100.61415224534963
7104,-105.78526161602065
7200,-100.27840924811606
7296,-102.9695032973639
7392,-102.99449903736709
7488,-102.188216914321
7584,-101.91772230854494
7680,-104.91431922110021
7776,-102.04834928837462
7872,-99.56300024288541
7968,-103.20614678343819
8064,-104.01503615208884
8160,-100.76924423815097
8256,-98.36843624826017
8352,-102.67121090678606
8448,-99.5297291214931
8544,-99.91387098034951
8640,-102.73140452417763
8736,-106.56564336599222
8832,-107.98429439869852
8928,-97.89647720062192
9024,-102.08651453268504
9120,-99.42429778139932
9216,-100.80562140933881
9312,-105.73468125683813
9408,-103.13880076538032
9504,-103.85462986063905
9600,-98.17426810449243
9696,-102.45398276157366
9792,-103.5241008066108
9888,-97.46490404057874
9984,-100.84681205721449
10080,-99.48360638148242
10176,-104.45478618652962
10272,-108.21489468800164
10368,-102.18494185138105
10464,-100.5114533484169
10560,-103.75879085809842
10656,-98.87244656978105
10752,-96.8764715326804
10848,-102.54863064675274
10944,-101.59332621280194
11040,-102.41811419914299
11136,-100.62166430842613
11232,-102.30302476490263
11328,-104.44529966083492
11424,-105.11311159618705
11520,-102.60724383350305
11616,-104.7955114596964
11712,-100.63294518285448
11808,-104.90305926595698
11904,-104.07344560252625
12000,-102.25337831659398
12096,-100.64913075973865
12192,-99.07564761244414
12288,-101.31968097317056
12384,-106.26600610423324
12480,-103.29349842404199
12576,-102.5403686681893
12672,-102.43456615457404
12768,-103.55695720180287
12864,-103.35458377851683
12960,-104.26826094863912
13056,-100.5450177605235
13152,-107.33806020434221
13248,-100.04990889271963
13344,-102.36917825742657
13440,-98.82036110398371
13536,-103.66750510030397
13632,-102.87855363916847
13728,-97.59809129878221
13824,-103.07050356900814
13920,-99.74852296367979
14016,-105.2516062071567
14112,-104.16035427459668
14208,-102.47460332978523
14304,-101.04679530631861
14400,-101.56706441188011
14496,-100.59675269805304
14592,-98.96529629383444
14688,-102.1115364442133
14784,-100.50475084188417
14880,-103.09133616879012
14976,-101.79907408145161
15072,-98.02615643006706
15168,-105.16780638051074
15264,-103.04747570962098
15360,-101.98039283941029
15456,-101.12916997957062
15552,-103.81260915422178
15648,-102.60643779444698
15744,-101.31833898440041
15840,-106.36140607731011
15936,-102.01949672615837
16032,-103.1556618131462
16128,-107.18703921705055
16224,-103.77250185046802
16320,-107.06497408891548
16416,-102.16802556753352
16512,-101.66854893021679
16608,-100.24843364081022
16704,-101.5536153333098
16800,-100.52723639506792
16896,-102.39808420035496
16992,-103.07059478912385
17088,-100.5786891156234
17184,-100.38754341708419
17280,-98.95782837416246
17376,-108.82141769203275
17472,-100.65150710206208
17568,-104.91209299204803
17664,-102.56692040703419
17760,-106.25744676181895
17856,-100.14668509528818
17952,-101.3652207297929
18048,-105.03107697444162
18144,-101.49244454474447
18240,-101.87997411451465
18336,-99.55913540408324
18432,-101.34294749686995
18528,-102.93587385040391
18624,-106.01862395759684
18720,-107.40023286425989
18816,-106.95912627079392
18912,-102.62840319566756
19008,-104.08838134191552
19104,-100.36808375904016
19200,-101.19635656780528
19296,-101.57053812663872
19392,-101.8338721728505
19488,-102.00587265322234
19584,-102.02644362965536
19680,-102.56190151257847
19776,-99.67716268273092
19872,-103.03858140263279
19968,-104.73201435078971
20064,-102.82503948423751
20160,-107.87665539982987
20256,-103.40846482153812
20352,-103.0413464736143
20448,-100.55427791933899
20544,-104.10672470419271
20640,-101.5660198051458
20736,-102.51138578514474
20832,-98.92464978799052
20928,-102.49537433424854
21024,-101.36855262483752
21120,-99.47906641879422
21216,-101.4235126551115
21312,-100.490824576404
21408,-104.26378607787177
21504,-104.12548554266071
21600,-103.2649482635267
21696,-103.55363409942602
21792,-104.55098599459123
21888,-100.8910620435769
21984,-101.55675375893037
22080,-104.66155868345238
22176,-101.92751765383603
22272,-103.16313023693512
22368,-98.47235185222223
22464,-102.34027988305027
22560,-106.83963638039843
22656,-106.48928838261773
22752,-99.73076380103325
22848,-100.06630306977263
22944,-101.61274874370184
23040,-105.84214524899055
23136,-103.74124143849153
23232,-108.39883759938905
23328,-102.28544918882866
23424,-101.50094004253693
23520,-101.97776326365678
23616,-102.02168884207634
23712,-102.89638976031756
23808,-103.25624335842159
23904,-105.47747926258049
24000,-101.61978661916271
24096,-102.5241218671533
24192,-101.90956242205729
24288,-99.68632022878046
24384,-102.62565558067564
24480,-102.17846471270127
24576,-100.0111291118738
24672,-104.2711285491784
24768,-101.30644775429857
24864,-102.06659638037675
24960,-101.3460695345266
25056,-100.69106426014949
25152,-102.9229974900874
25248,-97.76405992291731
25344,-106.45129372488248
25440,-105.10601702992194
25536,-105.68105666153615
25632,-104.85118144873803
25728,-100.87492075403105
