episode,reward
0,-6.282056257722509
96,-3.3272004677446425
192,-4.858928135893246
288,-5.222732343794891
384,-4.011746299980468
480,-4.316870606731877
576,-6.375473031477548
672,-6.556407169651978
768,-3.6302212791781683
864,-6.230017914541475
960,-5.064155965788051
1056,-1.8217074123405106
1152,-2.1540410900379925
1248,-1.9191549222097202
1344,-2.0934143341601503
1440,-1.6150993787459624
1536,-0.14153307732294174
1632,-1.002012095419869
1728,-2.013644074683208
1824,-2.7756185957537047
1920,-1.386916573788095
2016,-2.4993187065877027
2112,-1.4623030007192233
2208,-1.0689029705099686
2304,-2.1455150988280907
2400,-1.0879557603872718
2496,-1.4398704463136596
2592,-1.2635460239813867
2688,-2.0727923800431993
2784,-2.1949135087787233
2880,-0.7520225323658993
2976,-0.8224741665631488
3072,-1.9470559839035222
3168,-1.5730093444570774
3264,-1.7997433555070512
3360,-2.2716207637410983
3456,-1.96301259097423
3552,-1.3407080978549895
3648,-1.7363194048132127
3744,-0.974614610072359
3840,-2.42392544857742
3936,-1.6112027300714684
4032,-2.273877275137066
4128,-1.389805594444493
4224,-1.9637000822453263
4320,-0.9547074088568207
4416,-1.9454497820736203
4512,-1.133656694506132
4608,-2.729024260922503
4704,-1.8135372050854839
4800,-1.7500449783815872
4896,-1.475114528964332
4992,-1.827409752353201
5088,-2.0127461975688634
5184,-1.9907695989352132
5280,-2.4406771576346302
5376,-1.6753686440897153
5472,-1.3144416901310576
5568,-1.0982077725104533
5664,-1.1408036855114525
5760,-2.579927776011421
5856,-1.5801659948618358
5952,-2.392993408379538
6048,-1.70590282854974
6144,-1.9804335091953338
6240,-0.3514186729278989
6336,-1.5405913850119963
6432,-2.7366799340884596
6528,-2.5238304414794515
6624,-1.1645532911296275
6720,-2.239198842223079
6816,-1.761875935351371
6912,-1.7041460597530516
7008,-1.6381219644285343
7104,-2.6626376359040904
7200,-1.234246020601719
7296,-2.2532698400944646
7392,-1.4958977811928806
7488,-2.1415515454976934
7584,-1.7542601461070335
7680,-1.7875178378273893
7776,-2.1466737355830343
7872,-1.9075455973923867
7968,-1.149426886713986
8064,-1.4302032399138809
8160,-1.5377966766975057
8256,-2.4421160222845963
8352,-2.0357468318163066
8448,-2.4745560959402844
8544,-1.4986626732527113
8640,-1.7588611970249919
8736,-1.1646369633681686
8832,-3.0228248035216394
8928,-0.37704532044650063
9024,-1.1632568301021282
9120,-1.769342813662915
9216,-2.433100845175912
9312,-1.821781786392203
9408,-2.362853485264619
9504,-2.01137656811871
9600,-2.5370700258856256
9696,-0.7395256354431259
9792,-1.6750152686586244
9888,-1.909477582465839
9984,-1.1869091760486299
10080,-1.8140943941664605
10176,-1.160252568523211
10272,-2.166122627846156
10368,-1.6246017994030568
10464,-2.3653528307472946
10560,-1.5213509642572483
10656,-2.3241933786645808
10752,-0.6918627362864482
10848,-2.2968004259263197
10944,-1.8535315870392535
11040,-0.8976771792353682
11136,-2.482061616903569
11232,-1.077454042988586
11328,-2.4315032461399078
11424,-1.3964669580752336
11520,-1.2129266524514855
11616,-2.7704463737979435
11712,-1.804910885737963
11808,-1.7490797627918009
11904,-1.3997387256161307
12000,-1.812139029111414
12096,-2.8116369460779045
12192,-1.956988524744896
12288,-2.0392050772296795
12384,-1.5482792931940463
12480,-2.0693571249104754
12576,-0.5770533550452861
12672,-0.2934255473105776
12768,-2.1140008169228173
12864,-2.222402188674042
12960,-2.0829429662356063
13056,-1.3560320358446267
13152,-1.4364613202127579
13248,-2.064041206318005
13344,-2.0100169757014514
13440,-1.9371443676729732
13536,-2.25609116913195
13632,-1.4547823266536488
13728,-0.9166807691109302
13824,-0.9888322195851685
13920,-2.5194497116951604
14016,-2.9016810758159597
14112,-2.1503629518179044
14208,-1.9259970330607763
14304,-2.4404778690746376
14400,-2.3030545879851108
14496,-2.85295325376582
14592,-1.7641464258746131
14688,-1.6273826760551513
14784,-1.9890508482666711
14880,-2.3936636188603475
14976,-2.747582541826487
15072,-2.030283938812562
15168,-2.2358636399019804
15264,-1.2187369689773582
15360,-1.4518567913383893
15456,-3.05602593356434
15552,-2.467106606484349
15648,-2.230884472594557
15744,-2.11904205048109
15840,-1.9849569122339528
15936,-1.5018239882637106
16032,-0.9855013783962169
16128,-1.5557320446583556
