episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1
nan,nan,nan,nan,0,1280,False,1280,0,1,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-08,1580851208,4.9135847091674805,4.9135847091674805,32407,gammaumd8,10.70.51.95,4.9135847091674805,1280,1,8,17e16912,0,1.0,1.0,1,0,1280,4443.524,nan,nan,442.067,0.0,nan,26.171428571428574,23.44285714285714,0.0,0.010353283080555808,0.002857142857142857,0.026590434703693624
-94.18420239025727,-118.8569161074702,-106.11310218836297,51.625,24,2560,False,3840,24,2,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-09,1580851209,1.136462688446045,6.050047397613525,32407,gammaumd8,10.70.51.95,6.050047397613525,3840,2,8,17e16912,0,1.0,1.0,3,0,3840,1833.799,nan,nan,158.701,0.0,nan,20.1,25.5,0.0,0.010353283080555808,0.0,0.02659043470369362
-88.7515941646416,-205.84899361571297,-107.84404457600971,64.55737704918033,37,2560,False,6400,61,3,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-11,1580851211,1.945040225982666,7.995087623596191,32407,gammaumd8,10.70.51.95,7.995087623596191,6400,3,8,17e16912,0,1.0,1.0,5,512,6400,1317.153,32.886,742.464,104.049,689.596,512.0,18.13333333333333,25.73333333333333,0.0,0.010353283080555808,0.0,0.026953444051184317
-85.67249297699892,-210.74019205709916,-107.26146477597067,65.04,41,2560,False,8960,102,4,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-12,1580851212,1.2177720069885254,9.212859630584717,32407,gammaumd8,10.70.51.95,9.212859630584717,8960,4,8,17e16912,0,1.0,1.0,7,1536,8960,1087.75,42.368,253.632,79.544,2018.677,512.0,17.3,26.4,0.0,0.010353283080555808,0.005,0.03403212632725293
-85.67249297699892,-224.20549353398383,-107.76581131512998,70.24,23,2560,False,11520,125,5,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-13,1580851213,1.1962194442749023,10.40907907485962,32407,gammaumd8,10.70.51.95,10.40907907485962,11520,5,8,17e16912,0,1.0,1.0,9,2560,11520,959.847,38.16,155.628,66.719,3289.889,512.0,19.6,26.6,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.67249297699892,-224.20549353398383,-108.55605690888595,71.58,6,2560,False,14080,131,6,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-14,1580851214,1.1603918075561523,11.569470882415771,32407,gammaumd8,10.70.51.95,11.569470882415771,14080,6,8,17e16912,0,1.0,1.0,11,3584,14080,515.722,42.163,113.138,19.327,4525.437,512.0,21.7,26.7,0.0,0.010353283080555808,0.0,0.03475814502223432
-85.67249297699892,-224.20549353398383,-110.45094643980265,71.68,8,2560,False,16640,139,7,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-16,1580851216,1.1184895038604736,12.687960386276245,32407,gammaumd8,10.70.51.95,12.687960386276245,16640,7,8,17e16912,0,1.0,1.0,13,4608,16640,506.102,41.827,89.743,18.931,5705.158,512.0,18.4,26.8,0.0,0.010353283080555808,0.0,0.03475814502223432
-66.94894945295529,-224.20549353398383,-110.25971138450201,76.95,16,2560,False,19200,155,8,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-17,1580851217,1.15494966506958,13.842910051345825,32407,gammaumd8,10.70.51.95,13.842910051345825,19200,8,8,17e16912,0,1.0,1.0,15,5632,19200,496.066,43.735,8.418,17.279,60821.275,512.0,21.6,26.8,0.0,0.010353283080555808,0.0,0.03475814502223432
-66.94894945295529,-224.20549353398383,-110.95594416416833,79.71,11,2560,False,21760,166,9,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-18,1580851218,1.098961591720581,14.941871643066406,32407,gammaumd8,10.70.51.95,14.941871643066406,21760,9,8,17e16912,0,1.0,1.0,17,6656,21760,489.232,40.587,7.973,16.3,64215.936,512.0,21.1,26.9,0.0,0.010353283080555808,0.0,0.03475814502223432
-42.74698261357846,-224.20549353398383,-110.002389077259,84.12,11,2560,False,24320,177,10,136d086607b94f6dabc43c99142ca5c5,2020-02-04_16-20-19,1580851219,1.1576132774353027,16.09948492050171,32407,gammaumd8,10.70.51.95,16.09948492050171,24320,10,8,17e16912,0,1.0,1.0,19,7680,24320,483.871,42.37,7.46,14.962,68634.699,512.0,20.1,27.05,0.0,0.010353283080555808,0.0,0.03475814502223432
