episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
nan,nan,nan,nan,0,1280,False,1280,0,1,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-02,1580770082,10.092254400253296,10.092254400253296,26287,Prophet,10.72.12.27,10.092254400253296,1280,1,8,2e7e422a,0,1280,1280,9648.891,217.952,171.365,5872.859,132.658,1280.0,97.98461538461538,48.93846153846155,0.04076923076923077,0.5407091543082806,0.000699999975040555,1389.604,16475.36,23.860346,651.537,40.0,-0.0036752224
nan,nan,nan,nan,0,7680,False,8960,0,2,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-13,1580770093,11.244457960128784,21.33671236038208,26287,Prophet,10.72.12.27,21.33671236038208,8960,2,8,2e7e422a,0,8960,8960,2968.361,39.055,30.473,32773.887,431.214,1280.0,93.65714285714286,49.964285714285715,0.08999999999999998,0.5507919169852541,0.0006999552133493125,691.68225,16466.395,23.902065,542.3913,40.0,0.054828763
nan,nan,nan,nan,0,5120,False,14080,0,3,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-24,1580770104,11.228761672973633,32.56547403335571,26287,Prophet,10.72.12.27,32.56547403335571,14080,3,8,2e7e422a,0,14080,14080,2216.753,11.634,15.235,110021.746,577.421,1280.0,98.97692307692306,49.8076923076923,0.020000000000000004,0.5507919169852541,0.0006996864103712142,298.09088,16445.547,23.959743,562.6238,40.0,0.121836364
nan,nan,nan,nan,0,7680,False,21760,0,4,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-36,1580770116,11.44926929473877,44.01474332809448,26287,Prophet,10.72.12.27,44.01474332809448,21760,4,8,2e7e422a,0,21760,21760,2234.363,11.375,15.404,112530.086,572.87,1280.0,93.95333333333333,50.073333333333345,0.11466666666666668,0.5507919169852541,0.0006995071889832616,32.800232,16404.926,24.031977,1219.8762,40.0,0.13441038
nan,nan,nan,nan,0,5120,False,26880,0,5,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-46,1580770126,10.670737504959106,54.68548083305359,26287,Prophet,10.72.12.27,54.68548083305359,26880,5,8,2e7e422a,0,26880,26880,2177.97,11.742,13.844,109006.002,587.703,1280.0,98.43333333333334,49.89166666666666,0.06416666666666666,0.5509284543965047,0.0006992383860051632,234.39117,16308.506,24.064322,1809.2723,40.0,0.11788392
100.44000000000065,20.360000000000156,45.40750000000027,501.0,64,7680,False,34560,64,6,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-48-58,1580770138,11.79395580291748,66.47943663597107,26287,Prophet,10.72.12.27,66.47943663597107,34560,6,8,2e7e422a,0,34560,34560,2211.689,11.912,16.842,107458.215,578.743,1280.0,94.24,50.06666666666668,0.1553333333333333,0.5507919169852541,0.0006990592228248715,610.8644,15691.383,24.14021,2224.4414,40.0,0.19013435
100.44000000000065,20.360000000000156,45.40750000000027,501.0,0,5120,False,39680,64,7,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-49-09,1580770149,10.887454271316528,77.3668909072876,26287,Prophet,10.72.12.27,77.3668909072876,39680,7,8,2e7e422a,0,39680,39680,2237.37,9.757,16.38,131190.507,572.1,1280.0,98.03076923076922,49.86153846153846,0.04461538461538462,0.5507919169852541,0.0006987904198467731,4304.2646,14129.986,24.202427,10527.891,39.999996,0.11017269
100.44000000000065,20.360000000000156,45.40750000000027,501.0,0,8960,False,48640,64,8,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-49-21,1580770161,11.278181552886963,88.64507246017456,26287,Prophet,10.72.12.27,88.64507246017456,48640,8,8,2e7e422a,0,48640,48640,1878.637,8.626,13.63,148383.533,681.345,1280.0,95.20714285714284,50.085714285714296,0.10142857142857142,0.5509089490520404,0.0006986111984588206,-3188.5674,12563.297,24.285181,3848.3296,40.0,0.054056525
100.44000000000065,20.360000000000156,45.40750000000027,501.0,0,6400,False,55040,64,9,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-49-31,1580770171,10.629615068435669,99.27468752861023,26287,Prophet,10.72.12.27,99.27468752861023,55040,9,8,2e7e422a,0,55040,55040,1807.054,16.113,14.177,79439.927,708.335,1280.0,96.91666666666667,49.94166666666666,0.036666666666666674,0.5507539899265733,0.0006982975755818188,-3483.4106,13534.171,24.272425,2382.5234,40.0,0.14394557
100.44000000000065,20.360000000000156,45.40750000000027,501.0,0,8960,False,64000,64,10,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-49-42,1580770182,11.063187599182129,110.33787512779236,26287,Prophet,10.72.12.27,110.33787512779236,64000,10,8,2e7e422a,0,64000,64000,1751.177,13.303,16.043,96215.839,730.937,1280.0,94.81428571428572,50.09285714285715,0.08999999999999998,0.5501027281475125,0.0006980735925026238,1470.561,14696.511,24.248331,7749.363,40.0,0.027267933
233.60000000000042,20.900000000000183,80.58050000000037,501.0,64,5120,False,69120,128,11,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-49-52,1580770192,10.121944904327393,120.45982003211975,26287,Prophet,10.72.12.27,120.45982003211975,69120,11,8,2e7e422a,0,69120,69120,1898.69,10.95,10.277,116900.141,674.149,1280.0,97.08333333333333,50.050000000000004,0.05166666666666667,0.5500637174585837,0.000697760027833283,3400.374,15327.594,24.261938,9549.74,40.000004,0.12765527
233.60000000000042,20.900000000000183,80.58050000000037,501.0,0,7680,False,76800,128,12,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-04,1580770204,11.224097967147827,131.68391799926758,26287,Prophet,10.72.12.27,131.68391799926758,76800,12,8,2e7e422a,0,76800,76800,2107.388,10.725,10.829,119350.265,607.387,1280.0,95.52857142857144,50.12857142857144,0.08571428571428573,0.5500637174585837,0.0006975808064453304,1784.7289,15138.434,24.331701,9195.576,40.0,0.062229574
233.60000000000042,20.900000000000183,80.58050000000037,501.0,0,7680,False,84480,128,13,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-15,1580770215,11.494856119155884,143.17877411842346,26287,Prophet,10.72.12.27,143.17877411842346,84480,13,8,2e7e422a,0,84480,84480,1760.639,10.38,8.286,123310.881,727.009,1280.0,97.11428571428573,50.09285714285715,0.08571428571428573,0.5502977815921563,0.000697312003467232,230.1301,15210.293,24.421938,12066.748,40.000004,0.10664326
233.60000000000042,20.900000000000183,80.58050000000037,501.0,0,7680,False,92160,128,14,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-26,1580770226,10.926786661148071,154.10556077957153,26287,Prophet,10.72.12.27,154.10556077957153,92160,14,8,2e7e422a,0,92160,92160,1873.068,12.554,16.578,101956.809,683.371,1280.0,96.98461538461538,50.26153846153845,0.07538461538461538,0.5501057289697378,0.0006970432004891336,-3461.0776,15304.637,24.448793,5439.9863,40.0,0.134224
252.6700000000009,22.19000000000053,133.6927000000002,501.0,64,6400,False,98560,192,15,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-37,1580770237,10.68921685218811,164.79477763175964,26287,Prophet,10.72.12.27,164.79477763175964,98560,15,8,2e7e422a,0,98560,98560,1877.881,12.739,17.327,100482.49,681.619,1280.0,95.54615384615386,50.292307692307695,0.08538461538461539,0.5502807769328797,0.0006967743975110352,-1362.0298,15534.954,24.424532,5303.8438,40.0,0.23225641
252.6700000000009,22.19000000000053,133.69270000000023,501.0,0,6400,False,104960,192,16,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-48,1580770248,10.591347694396973,175.38612532615662,26287,Prophet,10.72.12.27,175.38612532615662,104960,16,8,2e7e422a,0,104960,104960,2094.383,11.517,16.633,111136.831,611.159,1280.0,95.23846153846154,50.23846153846153,0.07153846153846154,0.5503647999551877,0.0006965504144318402,3747.1074,15330.785,24.421112,12369.867,40.000004,0.08969581
252.6700000000009,22.19000000000053,133.69270000000023,501.0,0,7680,False,112640,192,17,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-50-59,1580770259,11.069356679916382,186.455482006073,26287,Prophet,10.72.12.27,186.455482006073,112640,17,8,2e7e422a,0,112640,112640,1838.06,9.392,7.827,136281.023,696.386,1280.0,96.46428571428571,50.25,0.11071428571428575,0.5501547423994174,0.0006963263731449842,4.67865,14756.554,24.479052,7441.1016,39.999996,0.0833658
252.6700000000009,22.19000000000053,133.69270000000023,501.0,0,6400,False,119040,192,18,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-51-09,1580770269,10.443001985549927,196.89848399162292,26287,Prophet,10.72.12.27,196.89848399162292,119040,18,8,2e7e422a,0,119040,119040,1938.937,9.949,11.151,128650.999,660.156,1280.0,98.02499999999998,50.15,0.0525,0.5501547423994174,0.0006960576283745468,1009.3501,14834.397,24.536812,11341.356,40.0,0.090449035
252.6700000000009,22.19000000000053,133.69270000000023,501.0,0,8960,False,128000,192,19,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-51-21,1580770281,11.359969854354858,208.25845384597778,26287,Prophet,10.72.12.27,208.25845384597778,128000,19,8,2e7e422a,0,128000,128000,1661.988,12.182,8.216,105073.493,770.162,1280.0,94.74,50.29333333333334,0.11733333333333336,0.550263972328418,0.0006958335870876908,-3196.7727,14281.338,24.59804,5129.6777,40.000004,0.14848703
271.1199999999989,37.43999999999996,157.13549999999995,501.0,64,5120,False,133120,256,20,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-51-31,1580770291,10.823081493377686,219.08153533935547,26287,Prophet,10.72.12.27,219.08153533935547,133120,20,8,2e7e422a,0,133120,133120,2036.519,11.595,12.532,110391.854,628.523,1280.0,97.64615384615384,50.23076923076923,0.05461538461538462,0.5502807769328797,0.00069552002241835,2472.8315,14049.992,24.613358,13178.779,40.0,0.16678381
271.1199999999989,37.43999999999996,157.13549999999995,501.0,0,7680,False,140800,256,21,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-51-43,1580770303,11.51313304901123,230.5946683883667,26287,Prophet,10.72.12.27,230.5946683883667,140800,21,8,2e7e422a,0,140800,140800,2204.811,10.04,11.683,127487.049,580.549,1280.0,94.84615384615384,50.361538461538466,0.1453846153846154,0.5501547423994174,0.0006953408010303974,2053.9106,13940.705,24.671373,13132.447,40.000004,0.09336305
271.1199999999989,37.43999999999996,157.13549999999995,501.0,0,6400,False,147200,256,22,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-51-54,1580770314,10.650274753570557,241.24494314193726,26287,Prophet,10.72.12.27,241.24494314193726,147200,22,8,2e7e422a,0,147200,147200,1994.988,10.109,15.653,126613.63,641.608,1280.0,97.76153846153846,50.25384615384615,0.04230769230769231,0.5504488229774958,0.000695071998052299,706.4283,14208.984,24.723972,11300.66,40.0,0.14039111
271.1199999999989,37.43999999999996,157.13549999999995,501.0,0,8960,False,156160,256,23,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-52-05,1580770325,11.215092658996582,252.46003580093384,26287,Prophet,10.72.12.27,252.46003580093384,156160,23,8,2e7e422a,0,156160,156160,1662.397,9.472,12.662,135130.535,769.972,1280.0,94.14285714285715,50.464285714285715,0.1278571428571429,0.5506553795740035,0.000694848014973104,542.46265,14407.338,24.771929,13178.601,40.0,0.13009524
336.26999999999725,77.2700000000002,170.3490999999998,501.0,64,6400,False,162560,320,24,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-52-16,1580770336,11.336962699890137,263.796998500824,26287,Prophet,10.72.12.27,263.796998500824,162560,24,8,2e7e422a,0,162560,162560,1879.069,11.39,25.563,112381.686,681.189,1280.0,98.14285714285715,50.32857142857142,0.014285714285714285,0.5506098671035866,0.0006945343920961022,1216.5435,14414.61,24.76513,10182.961,40.000004,0.26721036
336.26999999999725,77.2700000000002,170.3490999999998,501.0,0,7680,False,170240,320,25,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-52-27,1580770347,11.033059120178223,274.8300576210022,26287,Prophet,10.72.12.27,274.8300576210022,170240,25,8,2e7e422a,0,170240,170240,1975.012,11.717,14.381,109241.558,648.097,1280.0,94.57142857142857,50.48571428571428,0.0985714285714286,0.5507399027333492,0.0006943104090169072,3023.358,14806.094,24.770105,14003.565,40.0,0.061519265
336.26999999999725,77.2700000000002,170.3490999999998,501.0,0,6400,False,176640,320,26,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-52-39,1580770359,11.134856700897217,285.9649143218994,26287,Prophet,10.72.12.27,285.9649143218994,176640,26,8,2e7e422a,0,176640,176640,2009.074,11.89,12.931,107656.674,637.11,1280.0,98.32307692307693,50.33076923076923,0.0376923076923077,0.5515201165119243,0.0006940416060388088,-1200.1074,14959.828,24.801184,7430.559,40.0,0.17875773
336.26999999999725,77.2700000000002,170.3490999999998,501.0,0,8960,False,185600,320,27,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-52-50,1580770370,11.075713872909546,297.04062819480896,26287,Prophet,10.72.12.27,297.04062819480896,185600,27,8,2e7e422a,0,185600,185600,1734.934,10.661,9.47,120062.374,737.78,1280.0,94.64999999999998,50.578571428571436,0.1092857142857143,0.5509739668669216,0.0006938176229596138,257.20764,15205.195,24.84055,10416.16,40.0,0.088062346
336.26999999999725,77.2700000000002,170.3490999999998,501.0,0,6400,False,192000,320,28,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-00,1580770380,10.552523851394653,307.5931520462036,26287,Prophet,10.72.12.27,307.5931520462036,192000,28,8,2e7e422a,0,192000,192000,1792.662,12.673,17.21,101000.258,714.022,1280.0,98.68333333333335,50.43333333333334,0.021666666666666667,0.5509739668669216,0.000693504000082612,-1519.7024,15522.023,24.863457,5906.595,40.0,0.13886857
336.26999999999725,55.159999999999705,175.91869999999975,501.0,64,7680,False,199680,384,29,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-11,1580770391,10.9589262008667,318.5520782470703,26287,Prophet,10.72.12.27,318.5520782470703,199680,29,8,2e7e422a,0,199680,199680,1893.446,10.163,18.989,125951.825,676.016,1280.0,95.27857142857144,50.6857142857143,0.10071428571428573,0.5509739668669216,0.000693280017003417,1209.5491,15639.643,24.872278,9263.366,40.0,0.11974704
336.26999999999725,55.159999999999705,175.91869999999977,501.0,0,6400,False,206080,384,30,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-24,1580770404,12.140754699707031,330.69283294677734,26287,Prophet,10.72.12.27,330.69283294677734,206080,30,8,2e7e422a,0,206080,206080,2079.926,10.197,14.822,125521.886,615.406,1280.0,98.53571428571429,50.50714285714285,0.05642857142857143,0.5509739668669216,0.0006930112140253186,3062.1206,15518.959,24.932621,15521.97,40.000004,0.1308943
336.26999999999725,55.159999999999705,175.91869999999977,501.0,0,8960,False,215040,384,31,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-35,1580770415,11.114655494689941,341.8074884414673,26287,Prophet,10.72.12.27,341.8074884414673,215040,31,8,2e7e422a,0,215040,215040,1841.44,9.837,14.829,130119.926,695.108,1280.0,95.43571428571428,50.671428571428585,0.10928571428571432,0.5509739668669216,0.0006927871727384627,-3434.3274,15218.381,25.026407,4886.746,40.0,0.18546093
336.26999999999725,55.159999999999705,175.91869999999977,501.0,0,7680,False,222720,384,32,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-47,1580770427,12.236095905303955,354.04358434677124,26287,Prophet,10.72.12.27,354.04358434677124,222720,32,8,2e7e422a,0,222720,222720,1836.526,12.951,13.527,98837.035,696.968,1280.0,97.14285714285714,50.550000000000004,0.058571428571428594,0.5512600452523991,0.0006924736080691218,-570.5679,15361.125,25.047194,8494.821,40.000004,0.15155083
323.21999999999787,38.57000000000021,176.16859999999974,501.0,64,7680,False,230400,448,33,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-53-58,1580770438,10.589518547058105,364.63310289382935,26287,Prophet,10.72.12.27,364.63310289382935,230400,33,8,2e7e422a,0,230400,230400,1968.272,12.761,13.558,100307.143,650.317,1280.0,93.91428571428571,50.6857142857143,0.07928571428571429,0.5513380666302565,0.0006922048050910234,2127.4087,15375.152,25.03955,13331.594,40.0,0.16505432
323.21999999999787,38.57000000000021,176.1685999999997,501.0,0,6400,False,236800,448,34,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-54-09,1580770449,11.543919324874878,376.1770222187042,26287,Prophet,10.72.12.27,376.1770222187042,236800,34,8,2e7e422a,0,236800,236800,2006.597,10.149,7.675,126124.033,637.896,1280.0,97.52307692307691,50.599999999999994,0.029230769230769234,0.5513380666302565,0.000691936002112925,820.0773,15537.455,25.058989,8673.609,40.0,0.13807184
323.21999999999787,38.57000000000021,176.1685999999997,501.0,0,7680,False,244480,448,35,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-54-21,1580770461,11.652497053146362,387.8295192718506,26287,Prophet,10.72.12.27,387.8295192718506,244480,35,8,2e7e422a,0,244480,244480,2116.342,11.181,9.313,114475.559,604.817,1280.0,95.6,55.14999999999999,0.12357142857142857,0.5740617929312631,0.00069171201903373,1492.4409,15466.18,25.141819,11414.948,40.0,0.12927401
323.21999999999787,38.57000000000021,176.1685999999997,501.0,0,6400,False,250880,448,36,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-54-32,1580770472,10.645121335983276,398.47464060783386,26287,Prophet,10.72.12.27,398.47464060783386,250880,36,8,2e7e422a,0,250880,250880,1895.04,9.647,12.972,132688.493,675.447,1280.0,98.05384615384615,53.38461538461539,0.05384615384615385,0.5803960285118122,0.0006914432160556316,-2647.497,15225.8,25.212912,7685.3745,40.0,0.1995452
308.33999999999816,38.57000000000021,175.3998999999996,501.0,64,7680,False,258560,512,37,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-54-42,1580770482,10.182580709457397,408.65722131729126,26287,Prophet,10.72.12.27,408.65722131729126,258560,37,8,2e7e422a,0,258560,258560,1879.954,9.523,11.515,134411.28,680.868,1280.0,96.05000000000001,50.73333333333333,0.059166666666666666,0.551156016748589,0.0006912191747687757,-903.9447,14068.385,25.221561,7420.6934,39.999996,0.24927408
308.33999999999816,38.57000000000021,175.39989999999966,501.0,0,6400,False,264960,512,38,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-54-52,1580770492,10.57216763496399,419.22938895225525,26287,Prophet,10.72.12.27,419.22938895225525,264960,38,8,2e7e422a,0,264960,264960,1857.749,10.228,8.602,125146.777,689.006,1280.0,95.6923076923077,50.67692307692308,0.05692307692307693,0.551156016748589,0.0006909503717906773,4524.764,15423.536,25.199972,20064.66,40.0,0.22116292
308.33999999999816,38.57000000000021,175.39989999999966,501.0,0,7680,False,272640,512,39,3c36ea12753340b7a8ba4f488552d79a,2020-02-03_17-55-03,1580770503,10.965106010437012,430.19449496269226,26287,Prophet,10.72.12.27,430.19449496269226,272640,39,8,2e7e422a,0,272640,272640,1950.853,10.494,10.397,121970.377,656.123,1280.0,95.67142857142858,50.71428571428571,0.05071428571428571,0.551156016748589,0.0006907263887114823,661.8246,15380.186,25.254656,11015.035,40.0,0.16814488
