episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/policy_reward_min/policy_0,evaluation/policy_reward_max/policy_0,evaluation/policy_reward_mean/policy_0,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_processing_ms,evaluation/sampler_perf/mean_inference_ms
nan,nan,nan,nan,0,1280,False,1280,0,1,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-31,1580920171,1.4639182090759277,1.4639182090759277,17490,gammaumd8,10.70.51.95,1.4639182090759277,1280,1,8,a3317624,0,1.0,1.0,1,0,1280,1408.823,nan,nan,33.418,0.0,nan,21.5,27.5,0.0,0.010444101353192263,0.01,0.03475814502223432,-1.0006395735967217,-1.0006395735967217,-1.0006395735967217,200.0,1,-1.0001073214210123,-1.242735873319134e-05,-0.20012791471934435,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,2560,0,2,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-33,1580920173,1.871436595916748,3.335354804992676,17490,gammaumd8,10.70.51.95,3.335354804992676,2560,2,8,a3317624,0,0.87456,0.87456,2,512,2560,1237.254,32.949,705.766,33.49,725.453,512.0,19.933333333333334,28.03333333333333,0.0,0.010444101353192263,0.0,0.03475814502223432,0.009367574425530592,0.009367574425530592,0.009367574425530592,200.0,1,-0.00017791362313346326,0.009710022308931912,0.0018735148851061183,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,3840,0,3,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-35,1580920175,1.243497610092163,4.578852415084839,17490,gammaumd8,10.70.51.95,4.578852415084839,3840,3,8,a3317624,0,0.74912,0.74912,3,1024,3840,1196.743,36.287,362.724,35.256,1411.54,512.0,19.8,28.15,0.0,0.010444101353192263,0.0,0.03475814502223432,-1.830638147382853,-1.830638147382853,-1.830638147382853,200.0,1,-1.0002860367885091,0.1699867913715317,-0.3661276294765706,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,5120,0,4,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-36,1580920176,1.2485973834991455,5.827449798583984,17490,gammaumd8,10.70.51.95,5.827449798583984,5120,4,8,a3317624,0,0.62368,0.62368,4,1536,5120,1168.675,46.721,247.602,39.128,2067.839,512.0,19.9,28.4,0.0,0.010444101353192263,0.0,0.037662219802159905,-0.8606407509617539,-0.8606407509617539,-0.8606407509617539,200.0,1,-0.9502885842657178,0.08995101919269302,-0.17212815019235078,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,6400,0,5,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-38,1580920178,1.2101972103118896,7.037647008895874,17490,gammaumd8,10.70.51.95,7.037647008895874,6400,5,8,a3317624,0,0.49824,0.49824,5,2048,6400,1153.188,48.437,189.746,36.616,2698.344,512.0,21.8,28.5,0.0,0.010444101353192263,0.0,0.037662219802159905,-6.000628643446799,-6.000628643446799,-6.000628643446799,200.0,1,-2.000182954616264,-0.0002840835650204099,-1.2001257286893598,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,7680,0,6,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-39,1580920179,1.1619901657104492,8.199637174606323,17490,gammaumd8,10.70.51.95,8.199637174606323,7680,6,8,a3317624,0,0.3728,0.3728,6,2560,7680,1136.168,46.005,153.941,37.304,3325.957,512.0,21.15,28.7,0.0,0.010444101353192263,0.0,0.037662219802159905,-3.9606415629163427,-3.9606415629163427,-3.9606415629163427,200.0,1,-2.000288124149506,-1.1850194098883549e-05,-0.7921283125832685,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,8960,0,7,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-40,1580920180,1.1799428462982178,9.379580020904541,17490,gammaumd8,10.70.51.95,9.379580020904541,8960,7,8,a3317624,0,0.24736000000000002,0.24736000000000002,7,3072,8960,1127.295,43.705,131.573,36.2,3891.386,512.0,23.2,28.95,0.0,0.010444101353192263,0.0,0.037662219802159905,-6.890643105301201,-6.890643105301201,-6.890643105301201,200.0,1,-3.0002884045622977,-0.8900131212062015,-1.3781286210602401,24.187063103291525,1.4895692986635427,5.135501795147189
nan,nan,nan,nan,0,1280,False,10240,0,8,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-42,1580920182,1.143035650253296,10.522615671157837,17490,gammaumd8,10.70.51.95,10.522615671157837,10240,8,8,a3317624,0,0.12192000000000003,0.12192000000000003,8,3584,10240,1113.761,43.686,115.794,36.347,4421.662,512.0,16.3,29.0,0.0,0.010444101353192263,0.0,0.037662219802159905,0.07961928675320877,0.07961928675320877,0.07961928675320877,200.0,1,-0.00015967927504334511,0.07993454505323598,0.015923857350641755,25.3213819422924,1.664707488252635,4.332237410129157
nan,nan,nan,nan,0,1280,False,11520,0,9,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-49,1580920189,1.1768543720245361,11.699470043182373,17490,gammaumd8,10.70.51.95,11.699470043182373,11520,9,8,a3317624,0,0.020000000000000018,0.020000000000000018,9,4096,11520,1108.349,42.567,103.614,36.041,4941.399,512.0,9.14,29.0,0.0,0.010444101353192263,0.009,0.037662219802159905,-3.0003813494978946,-3.0003813494978946,-3.0003813494978946,200.0,1,-2.0001092485009053,-1.216708005280509e-05,-0.600076269899579,25.3213819422924,1.664707488252635,4.332237410129157
37.084416740723,-12.905630778397944,-2.364127916587125,200.0,64,1280,False,12800,64,10,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-51,1580920191,1.1766035556793213,12.876073598861694,17490,gammaumd8,10.70.51.95,12.876073598861694,12800,10,8,a3317624,0,0.020000000000000018,0.020000000000000018,10,4608,12800,1104.01,41.88,93.776,36.074,5459.84,512.0,22.2,29.1,0.0,0.010444101353192263,0.0,0.037662219802159905,39.03961707659459,39.03961707659459,39.03961707659459,200.0,1,-1.0001598088354058,10.00998752442702,7.807923415318919,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,14080,64,11,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-52,1580920192,1.2642104625701904,14.140284061431885,17490,gammaumd8,10.70.51.95,14.140284061431885,14080,11,8,a3317624,0,0.020000000000000018,0.020000000000000018,11,5120,14080,1079.109,41.303,86.064,35.606,5949.074,512.0,21.75,29.1,0.0,0.010444101353192263,0.0,0.037662219802159905,37.07961841008844,37.07961841008844,37.07961841008844,200.0,1,-1.0001604780894127,10.009933448576882,7.415923682017689,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,15360,64,12,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-54,1580920194,1.1902713775634766,15.330555438995361,17490,gammaumd8,10.70.51.95,15.330555438995361,15360,12,8,a3317624,0,0.020000000000000018,0.020000000000000018,12,5632,15360,1075.402,42.19,20.751,35.411,24673.227,512.0,18.7,29.15,0.0,0.010444101353192263,0.0,0.037662219802159905,-0.9803897833120838,-0.9803897833120838,-0.9803897833120838,200.0,1,-0.9800116985121643,-3.6657961445030196e-05,-0.19607795666241676,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,16640,64,13,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-55,1580920195,1.176743745803833,16.507299184799194,17490,gammaumd8,10.70.51.95,16.507299184799194,16640,13,8,a3317624,0,0.020000000000000018,0.020000000000000018,13,6144,16640,1070.15,41.7,20.636,35.308,24810.654,512.0,20.6,29.1,0.0,0.010444101353192263,0.0,0.037662219802159905,-4.000382189199705,-4.000382189199705,-4.000382189199705,200.0,1,-2.000067632391847,-0.00010840587270877222,-0.800076437839941,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,17920,64,14,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-56,1580920196,1.1469640731811523,17.654263257980347,17490,gammaumd8,10.70.51.95,17.654263257980347,17920,14,8,a3317624,0,0.020000000000000018,0.020000000000000018,14,6656,17920,1064.449,38.398,20.688,33.966,24748.208,512.0,22.9,29.2,0.0,0.010444101353192263,0.0,0.037662219802159905,-1.880380521196714,-1.880380521196714,-1.880380521196714,200.0,1,-1.000107671725715,0.059988403385760454,-0.3760761042393428,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,19200,64,15,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-58,1580920198,1.2157156467437744,18.86997890472412,17490,gammaumd8,10.70.51.95,18.86997890472412,19200,15,8,a3317624,0,0.020000000000000018,0.020000000000000018,15,7168,19200,1066.726,37.129,20.649,33.932,24795.213,512.0,22.0,29.25,0.0,0.010444101353192263,0.0,0.037662219802159905,0.039616956744112884,0.039616956744112884,0.039616956744112884,200.0,1,-0.00016230252668947287,0.03996626517213372,0.007923391348822577,25.3213819422924,1.664707488252635,4.332237410129157
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,20480,64,16,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-29-59,1580920199,1.2502551078796387,20.12023401260376,17490,gammaumd8,10.70.51.95,20.12023401260376,20480,16,8,a3317624,0,0.020000000000000018,0.020000000000000018,16,7680,20480,1068.783,37.19,21.505,34.132,23807.864,512.0,18.9,29.5,0.0,0.010444101353192263,0.0,0.037662219802159905,0.15987594200834984,0.15987594200834984,0.15987594200834984,200.0,1,-5.2024451363763546e-05,0.07998873166729752,0.03197518840166997,25.750136811800687,1.7253721811608744,4.025453735707009
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,21760,64,17,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-07,1580920207,1.2352204322814941,21.355454444885254,17490,gammaumd8,10.70.51.95,21.355454444885254,21760,17,8,a3317624,0,0.020000000000000018,0.020000000000000018,17,8192,21760,1072.633,38.913,21.284,33.935,24055.727,512.0,9.81111111111111,29.666666666666668,0.0,0.010353283080555808,0.01,0.037662219802159905,0.26987505962894837,0.26987505962894837,0.26987505962894837,200.0,1,-3.541772208848215e-05,0.18994661006688549,0.053975011925789664,25.750136811800687,1.7253721811608744,4.025453735707009
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,23040,64,18,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-09,1580920209,1.8679161071777344,23.22337055206299,17490,gammaumd8,10.70.51.95,23.22337055206299,23040,18,8,a3317624,0,0.020000000000000018,0.020000000000000018,18,8704,23040,1133.957,45.629,23.672,33.113,21629.095,512.0,57.366666666666674,31.400000000000002,0.0,0.010353283080555808,0.0,0.037662219802159905,-0.9101238890848211,-0.9101238890848211,-0.9101238890848211,200.0,1,-0.9800112952676865,0.06999608088207826,-0.18202477781696422,25.750136811800687,1.7253721811608744,4.025453735707009
18.125248867944627,-6.765140209046891,-0.8569714947146858,200.0,0,1280,False,24320,64,19,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-10,1580920210,1.2515897750854492,24.474960327148438,17490,gammaumd8,10.70.51.95,24.474960327148438,24320,19,8,a3317624,0,0.020000000000000018,0.020000000000000018,19,9216,24320,1141.81,46.442,23.579,31.633,21713.972,512.0,56.050000000000004,44.2,0.0,0.010353283080555808,0.0,0.037662219802159905,-2.9501220576607166,-2.9501220576607166,-2.9501220576607166,200.0,1,-1.000021170912305,-3.6619638175139357e-06,-0.5900244115321431,25.750136811800687,1.7253721811608744,4.025453735707009
36.314753210017074,-10.925259550401652,-3.6761900286968983,200.0,64,1280,False,25600,128,20,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-12,1580920212,1.282346487045288,25.757306814193726,17490,gammaumd8,10.70.51.95,25.757306814193726,25600,20,8,a3317624,0,0.020000000000000018,0.020000000000000018,20,9728,25600,1152.553,46.597,23.715,31.288,21589.411,512.0,26.15,44.65,0.0,0.010353283080555808,0.005,0.04469552590979217,0.20987528096527805,0.20987528096527805,0.20987528096527805,200.0,1,-5.3526545784166046e-05,0.11996454570123204,0.041975056193055596,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,26880,128,21,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-14,1580920214,1.3540449142456055,27.11135172843933,17490,gammaumd8,10.70.51.95,27.11135172843933,26880,21,8,a3317624,0,0.020000000000000018,0.020000000000000018,21,10240,26880,1152.725,49.542,27.966,31.722,18307.837,512.0,24.7,45.3,0.0,0.010353283080555808,0.005,0.057446229240402935,0.4598761254249613,0.4598761254249613,0.4598761254249613,200.0,1,-3.547613906107472e-05,0.24994829534315963,0.09197522508499223,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,28160,128,22,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-15,1580920215,1.4443752765655518,28.555727005004883,17490,gammaumd8,10.70.51.95,28.555727005004883,28160,22,8,a3317624,0,0.020000000000000018,0.020000000000000018,22,10752,28160,1178.395,54.982,24.383,31.074,20998.527,512.0,43.0,46.95,0.0,0.010353283080555808,0.015,0.06316362646338143,20.43987676284194,20.43987676284194,20.43987676284194,200.0,1,-2.0402166910571395e-05,10.189989125507696,4.087975352568387,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,29440,128,23,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-17,1580920217,1.4459490776062012,30.001676082611084,17490,gammaumd8,10.70.51.95,30.001676082611084,29440,23,8,a3317624,0,0.020000000000000018,0.020000000000000018,23,11264,29440,1196.328,63.726,24.833,30.703,20617.776,512.0,47.85,49.2,0.0,0.010353283080555808,0.0,0.06316362646338143,28.02987509659414,28.02987509659414,28.02987509659414,200.0,1,-1.0000223711538148,10.009964601353085,5.605975019318834,25.750136811800687,1.7253721811608744,4.025453735707009
-2.805519752489975,-7.904938133017261,-4.8772477554848725,200.0,0,1280,False,30720,128,24,378f0a5841ed449caba3f0562cd03abc,2020-02-05_11-30-19,1580920219,1.4696121215820312,31.471288204193115,17490,gammaumd8,10.70.51.95,31.471288204193115,30720,24,8,a3317624,0,0.020000000000000018,0.020000000000000018,24,11776,30720,1222.781,71.248,24.89,29.604,20570.634,512.0,48.65,49.95,0.0,0.010353283080555808,0.0,0.06316362646338143,-2.2982945978800018e-05,-2.2982945978800018e-05,-2.2982945978800018e-05,200.0,1,-8.618210575406238e-06,-1.5846247864992336e-06,-4.596589195760004e-06,27.89490975988343,1.8582775649357675,3.9781077524249473
