episode,return_mean
148,-33.5542
256,-33.82
372,-34.0158
484,-33.8854
608,-34.7408
732,-35.0073
860,-35.613
972,-36.3205
1032,-36.9886
1100,-35.6884
1164,-35.5445
1240,-35.2233
1356,-35.1175
1456,-35.2988
1528,-36.3299
1648,-36.7426
1776,-37.0029
1900,-36.9457
2044,-36.9124
2172,-37.0783
2304,-36.9582
2476,-36.9734
2636,-36.7381
2768,-36.6093
2936,-36.5128
3076,-36.3614
3224,-36.0118
3364,-36.1297
3508,-36.0667
3656,-35.8817
3824,-35.7899
3984,-35.9131
4104,-35.5348
4236,-35.6571
4360,-35.3532
4460,-35.6733
4596,-35.602
4712,-35.6391
4860,-35.1813
5000,-35.5032
5124,-35.2326
5280,-35.0843
5432,-35.2634
5576,-35.4928
5724,-35.4615
5868,-35.5621
6012,-35.7905
6116,-35.7189
6268,-35.8229
6428,-36.0308
6584,-35.9118
6744,-35.939
6904,-36.1029
7068,-35.91
7232,-35.9313
7392,-35.9227
7548,-35.7758
7712,-35.5101
7876,-35.241
8044,-35.1025
8212,-34.9467
8388,-34.9329
8560,-35.0624
8736,-35.2127
8912,-35.1803
9096,-35.2726
9280,-35.1814
9460,-34.9481
9636,-34.8901
9808,-34.8375
9976,-34.8652
10140,-34.9801
10304,-35.2819
10468,-35.4676
10632,-35.3556
10792,-35.4433
10920,-35.4102
11064,-35.1893
11208,-35.2608
11324,-35.0829
11472,-35.0994
11580,-35.0981
11688,-35.2149
11812,-35.2812
11924,-35.5806
12068,-35.7846
12180,-35.8544
12248,-35.0751
12308,-33.0835
12364,-31.3308
12440,-30.1976
12504,-28.917
12608,-29.227
12688,-30.2539
12776,-31.6615
12852,-31.742
12904,-30.5965
12964,-29.7874
13040,-29.7216
13100,-28.9944
13168,-28.566
13252,-30.3613
13320,-30.9803
13384,-31.1328
13448,-31.358
13532,-32.4204
13600,-32.8973
13656,-31.8388
13736,-32.9024
13804,-33.6837
13880,-33.3765
13952,-33.5233
14032,-35.1479
14140,-35.0232
14208,-35.3448
14272,-35.6972
14328,-35.9918
14404,-35.6903
14476,-35.6164
14536,-34.2492
14596,-33.7805
14640,-31.0854
14708,-31.3683
14764,-30.618
14820,-30.6523
14872,-30.7588
14928,-32.2269
14992,-32.5065
15072,-33.3536
15160,-35.5281
15224,-35.5945
15276,-36.2676
15336,-36.3298
15384,-35.6889
15436,-33.5243
15508,-34.7529
15572,-34.6592
15628,-35.0025
15696,-36.6881
15772,-39.3136
15828,-37.9408
15892,-38.6122
15948,-39.3047
16004,-39.0565
16068,-38.8968
16120,-41.6148
16192,-42.0722
16248,-42.6485
16308,-43.2788
16368,-43.4509
16424,-41.8572
16480,-41.5866
16536,-40.896
16580,-40.806
16632,-39.6384
16688,-39.8232
16732,-38.4931
16776,-37.8266
16828,-36.2422
16884,-35.8762
16948,-36.3592
17004,-39.6795
17052,-40.3698
17100,-42.4965
17168,-44.7253
17224,-44.0681
17284,-42.7435
17344,-43.4315
17408,-42.309
17464,-41.3815
17512,-39.8813
17564,-38.8554
17612,-36.7172
17660,-37.055
17716,-35.3768
17788,-37.0412
17840,-37.6897
17900,-38.693
17960,-38.1118
18008,-39.5666
18084,-40.0925
18152,-40.0452
18188,-39.0379
18232,-38.6033
18284,-38.1408
18332,-35.9068
18372,-33.8835
18412,-32.1006
18452,-29.1847
18508,-28.4022
18552,-28.1367
18596,-28.2919
18648,-31.9376
18704,-34.7165
18760,-35.5441
18804,-35.2971
18840,-33.6773
18892,-31.8482
18948,-32.6815
19008,-34.7238
19064,-38.0286
19120,-42.7283
