episode,return_mean
20,5.0139
40,7.0555
60,7.8507
80,8.1915
100,9.1044
120,8.7595
140,7.7026
160,6.7384
180,5.9807
200,5.6529
220,5.4976
240,5.5487
260,5.9832
280,6.042
300,6.3318
320,7.0572
340,7.4266
360,7.4294
380,7.3974
400,7.1023
420,6.8964
440,7.2855
460,8.0564
480,8.8702
500,9.7608
520,10.3
540,10.5542
560,10.2883
580,10.4234
600,10.1898
620,10.3481
640,10.3082
660,10.2162
680,9.7769
700,9.9205
720,9.7152
740,8.8959
760,8.6302
780,8.6862
800,8.6425
820,8.6396
840,8.5168
860,7.9903
880,7.3878
900,7.0122
920,6.6317
940,6.4057
960,6.51
980,6.7205
1000,7.0918
1020,7.1755
1040,7.8991
1060,8.4897
1080,8.9688
1100,8.8573
1120,9.1179
1140,9.0681
1160,8.6973
1180,8.6315
1200,8.9111
1220,9.1095
1240,10.1767
1260,12.2509
1280,13.9837
1300,16.6528
1320,18.3732
1340,19.1449
1360,19.8578
1380,20.234
1400,19.716
1420,20.3451
1440,20.6897
1460,20.0509
1480,18.7808
1500,16.4295
1520,14.2001
1540,12.7249
1560,11.9872
1580,11.1055
1600,11.0208
1620,11.0578
1640,11.2881
1660,10.3452
1680,10.9237
1700,11.0511
1720,10.8431
1740,10.2967
1760,10.2694
1780,9.9413
1800,10.4178
1820,9.555
1840,8.5555
1860,7.815
1880,6.9215
1900,5.5477
1920,5.6732
1940,6.3637
1960,8.0285
1980,8.7195
2000,9.5987
2020,11.0504
2040,11.6687
2060,11.7616
2080,12.7769
2100,13.6688
2120,13.668
2140,14.288
2160,13.5128
2180,13.3639
2200,13.2859
2220,13.4064
2240,14.3691
2260,15.0786
2280,15.0916
2300,14.7328
2320,14.6596
2340,13.3176
2360,12.6094
2380,11.7158
2400,12.0058
2420,11.8445
2440,12.4956
2460,14.0805
2480,16.3685
2500,18.6904
2520,19.6256
2540,20.7854
2560,20.8293
2580,20.6372
2600,20.3833
2620,21.434
2640,21.4872
2660,21.3252
2680,21.0785
2700,20.6315
2720,19.1504
2740,17.4186
2760,16.4937
2780,15.1979
2800,13.7755
2820,13.1481
2840,12.4048
2860,11.9355
2880,12.139
2900,12.7211
2920,13.6053
2940,14.8108
2960,16.1274
2980,17.1952
3000,17.3135
3020,17.3041
3040,18.4395
3060,19.1718
3080,19.5546
3100,19.3045
3120,19.4373
3140,19.3754
3160,18.9811
3180,18.5416
3200,18.7624
3220,19.1996
3240,19.5004
3260,19.7095
3280,20.4883
3300,21.2263
3320,21.7687
3340,21.572
3360,21.1951
3380,20.5471
3400,20.2732
3420,20.2353
3440,20.3898
3460,21.5341
3480,21.9579
3500,23.1662
3520,22.9806
3540,23.1193
3560,22.5237
3580,22.7459
3600,22.6052
3620,22.5156
3640,22.3083
3660,21.5342
3680,21.7132
3700,19.6987
3720,17.9167
3740,16.1232
3760,16.6141
3780,15.5212
3800,15.1384
3820,15.5947
3840,15.8395
3860,15.1865
3880,14.4082
3900,14.7821
3920,14.5862
3940,13.9691
3960,13.0602
3980,12.4966
4000,11.2531
4020,10.4979
4040,12.0148
4060,13.5594
4080,15.4424
4100,18.2138
4120,21.102
4140,22.0691
4160,22.5562
4180,23.6197
4200,23.9072
4220,24.6651
4240,24.305
4260,25.4096
4280,24.7417
4300,24.437
4320,23.1402
4340,23.1318
4360,22.0986
4380,22.7508
4400,22.238
4420,22.7854
4440,22.9075
4460,23.1907
4480,22.6395
4500,23.1402
4520,23.6832
4540,24.1521
4560,23.6976
4580,24.1781
4600,24.0583
4620,24.2874
4640,23.7125
4660,24.4599
4680,24.1427
4700,24.5528
4720,24.6808
4740,25.4454
4760,26.1277
4780,26.8475
4800,27.9571
4820,27.9895
4840,28.204
4860,28.2854
4880,28.4203
4900,27.9182
4920,27.2067
4940,27.0316
4960,25.7509
4980,26.027
5000,26.0006
5020,25.8991
5040,27.4769
5060,28.5515
5080,27.9138
5100,27.9076
5120,29.247
5140,28.3441
5160,28.4425
5180,29.6546
5200,30.0832
5220,30.133
5240,30.1366
