episode,return_mean
20,-1.2237
40,-0.9541
60,-0.4384
80,-0.2685
100,0.102
120,0.2794
140,0.3645
160,0.1729
180,0.051
200,0.0005
220,-0.1103
240,-0.0751
260,-0.0824
280,0.019
300,-0.0238
320,0.0605
340,0.0678
360,-0.0716
380,-0.0684
400,0.0225
420,-0.0548
440,-0.0695
460,0.0663
480,-0.0191
500,-0.0004
520,-0.0402
540,-0.0453
560,-0.1006
580,0.0965
600,0.0021
620,0.1846
640,0.1229
660,0.0942
680,-0.2463
700,-0.3371
720,-0.3287
740,-0.4021
760,-0.3009
780,-0.1063
800,0.1492
820,0.04
840,0.1269
860,0.0559
880,0.0211
900,-0.1021
920,-0.0593
940,0.1014
960,0.1199
980,0.1259
1000,0.0534
1020,0.1526
1040,-0.0246
1060,0.1577
1080,0.1671
1100,0.3036
1120,0.1432
1140,0.2964
1160,0.1264
1180,0.0138
1200,0.0231
1220,0.0129
1240,0.0336
1260,0.042
1280,0.0422
1300,-0.0355
1320,-0.007
1340,-0.0589
1360,0.022
1380,0.1864
1400,0.3938
1420,0.5183
1440,0.4637
1460,0.3584
1480,0.2644
1500,0.0569
1520,0.0943
1540,0.1889
1560,0.1718
1580,0.2716
1600,0.3045
1620,0.1961
1640,0.1221
1660,0.0764
1680,-0.0093
1700,0.1101
1720,-0.0329
1740,-0.0972
1760,0.2584
1780,0.2387
1800,0.1133
1820,0.1946
1840,0.1662
1860,-0.072
1880,-0.0585
1900,-0.0931
1920,-0.1172
1940,-0.0622
1960,-0.0626
1980,0.186
2000,0.2687
2020,0.2176
2040,0.2999
2060,0.3173
2080,0.041
2100,0.0311
2120,0.1435
2140,0.0155
2160,-0.1227
2180,0.0985
2200,0.0607
2220,-0.0747
2240,-0.0853
2260,-0.0384
2280,-0.2857
2300,-0.2756
2320,-0.0785
2340,-0.177
2360,-0.1412
2380,-0.2222
2400,-0.2369
2420,-0.3112
2440,-0.1531
2460,-0.2257
2480,0.0681
2500,0.0189
2520,0.1063
2540,0.1173
2560,0.1538
2580,0.0455
2600,0.2418
2620,0.149
2640,0.0936
2660,0.1628
2680,0.2676
2700,0.2371
2720,0.2627
2740,0.4151
2760,0.5347
2780,0.3799
2800,0.3594
2820,0.6636
2840,0.5622
2860,0.4395
2880,0.4704
2900,0.5476
2920,0.1929
2940,0.0259
2960,0.0016
2980,0.0002
3000,-0.0985
3020,-0.0766
3040,0.0404
3060,0.1185
3080,0.1758
3100,0.0219
3120,-0.0087
3140,0.0895
3160,0.0109
3180,-0.077
3200,0.1184
3220,0.1849
3240,0.3446
3260,0.3536
3280,0.4883
3300,0.4369
3320,0.3876
3340,0.2648
3360,0.3205
3380,0.2298
3400,0.0352
3420,0.2087
3440,0.0727
3460,0.2649
3480,0.154
3500,0.4785
3520,0.4119
3540,0.4053
3560,0.026
3580,0.1548
3600,0.0284
3620,0.0284
3640,0.2056
3660,0.4201
3680,0.6343
3700,0.7142
3720,0.886
3740,0.8006
3760,1.14
3780,1.0852
3800,1.1486
3820,0.9791
3840,1.5158
3860,1.1887
3880,1.1266
3900,1.0683
3920,1.1028
3940,0.766
3960,0.7017
3980,0.7785
4000,0.5534
4020,0.4611
4040,0.3226
4060,0.43
4080,0.1426
4100,0.1707
4120,0.3265
4140,0.1255
4160,0.0593
4180,0.0584
4200,0.1725
4220,0.1609
4240,0.5261
4260,0.6657
4280,0.769
4300,0.7245
4320,0.635
4340,0.4049
4360,0.2417
4380,0.1243
4400,0.177
4420,0.1945
4440,0.1472
4460,0.2339
4480,0.1172
4500,0.2812
4520,0.1213
4540,0.2077
4560,-0.0456
4580,0.2876
4600,0.1101
4620,0.1088
4640,0.0887
4660,0.1788
4680,0.3616
4700,0.4586
4720,0.579
4740,0.5725
4760,0.5814
4780,0.2503
4800,0.1071
4820,0.1037
4840,0.1567
4860,0.2719
4880,0.2861
4900,0.3859
4920,0.3884
4940,0.2113
4960,0.0297
4980,0.0902
5000,-0.0392
5020,-0.0232
5040,0.1974
5060,0.3885
5080,0.3804
5100,0.5206
5120,0.5686
5140,0.6674
5160,0.6846
5180,0.7927
5200,0.9179
5220,0.8547
5240,0.6698
5260,0.5994
5280,0.4173
5300,0.2502
5320,0.1396
5340,0.1144
5360,0.2162
5380,0.2991
5400,0.3691
5420,0.5008
5440,0.6895
5460,0.5876
5480,0.5476
5500,0.3178
5520,0.4107
5540,0.425
5560,0.4702
5580,0.6146
5600,0.7236
5620,0.7588
5640,0.744
5660,0.8083
5680,0.6077
5700,0.5906
5720,0.4938
5740,0.4243
5760,0.4894
5780,0.5413
5800,0.6028
5820,0.6824
5840,0.6347
5860,0.4474
5880,0.5088
5900,0.3444
5920,0.291
5940,0.3711
5960,0.3652
5980,0.4881
6000,0.7511
6020,0.8425
6040,0.7732
6060,0.8718
6080,0.8174
6100,0.8431
6120,0.8638
6140,0.7166
6160,0.6037
6180,0.8321
6200,0.7875
6220,0.6056
6240,0.7336
6260,0.8521
6280,0.636
6300,0.7677
6320,0.7153
6340,0.8117
6360,0.6608
6380,0.5873
6400,0.3706
6420,0.5305
6440,0.57
6460,0.6872
6480,0.8451
6500,0.9054
6520,0.7235
6540,0.7092
6560,0.6111
6580,0.3626
6600,0.3444
6620,0.4525
6640,0.3311
6660,0.6154
6680,0.7353
6700,0.596
6720,0.6031
6740,0.5297
6760,0.3118
6780,0.3129
6800,0.4527
6820,0.4646
6840,0.643
6860,0.5415
6880,0.5134
6900,0.7277
6920,0.6537
6940,0.5515
6960,0.6706
6980,0.8114
7000,0.5308
7020,0.7048
7040,0.7767
7060,0.9156
7080,0.9827
7100,1.0089
7120,1.2824
7140,1.1581
7160,1.1233
7180,1.0122
7200,1.1085
7220,1.1145
7240,1.7832
7260,1.6445
7280,1.4603
7300,1.5876
7320,1.2583
7340,0.5797
7360,0.6179
7380,0.5393
7400,0.2954
7420,0.2282
7440,0.3482
7460,0.4164
7480,0.5952
7500,0.5655
7520,0.4392
7540,0.3185
7560,0.4647
7580,0.4919
7600,0.5156
7620,0.7111
7640,0.8269
7660,0.4956
7680,0.3803
7700,0.4298
7720,0.4041
7740,0.3725
7760,0.5954
7780,0.7719
7800,0.6771
7820,0.6349
7840,0.5662
7860,0.4325
7880,0.3315
7900,0.2686
7920,0.311
7940,0.355
7960,0.3479
7980,0.3722
8000,0.4634
8020,0.4115
8040,0.3162
8060,0.236
8080,0.1634
8100,0.4111
8120,0.3608
8140,0.537
8160,0.5536
8180,0.5967
8200,0.4383
8220,0.7327
8240,0.4933
8260,0.8726
8280,0.8207
8300,0.9739
8320,0.7427
8340,0.8157
8360,0.5064
8380,0.4836
8400,0.2234
8420,0.3952
8440,0.4318
8460,0.3686
8480,0.3034
8500,0.3324
8520,0.1482
8540,0.3223
8560,0.5622
8580,0.6597
8600,0.7222
8620,0.7123
8640,0.4536
8660,0.2041
8680,0.2129
8700,0.1607
8720,0.2445
8740,0.368
8760,0.5827
8780,1.0591
8800,1.0218
8820,1.1398
8840,0.9947
8860,0.7539
8880,0.2614
8900,0.2083
8920,-0.1542
8940,0.1528
8960,0.2991
8980,0.1555
9000,0.2361
9020,0.3892
9040,0.2028
9060,0.1945
9080,0.5354
9100,0.5369
9120,0.5252
9140,0.8759
9160,0.7301
9180,0.6531
9200,0.8169
9220,0.8821
9240,0.6539
9260,0.8604
9280,1.0369
9300,1.0307
9320,1.1591
9340,1.2223
9360,1.0232
9380,0.8719
9400,0.8803
9420,0.6623
9440,0.5927
9460,0.7798
9480,0.6653
9500,0.6022
9520,0.672
9540,0.788
9560,0.9138
9580,1.0222
9600,0.9857
9620,0.9295
9640,0.7851
9660,0.5354
9680,0.61
9700,0.6068
9720,0.7175
9740,0.5577
9760,0.568
9780,0.6482
9800,0.9393
9820,0.9942
9840,1.1559
9860,1.3811
9880,1.1376
9900,0.7677
9920,0.5133
9940,0.3051
9960,0.3051
9980,0.2475
10000,0.6971
10020,0.8737
10040,1.1301
10060,1.1194
10080,1.2538
10100,0.7675
10120,0.8775
10140,0.6675
10160,0.462
10180,0.4081
10200,0.448
10220,0.5762
10240,0.6813
10260,1.0366
10280,1.026
10300,1.1212
10320,0.9091
10340,0.9439
10360,0.7902
10380,0.9126
10400,1.1058
10420,1.1163
10440,1.1197
10460,1.1338
10480,1.1839
10500,0.9163
10520,0.7215
10540,0.6959
10560,0.6354
10580,0.4116
10600,0.3139
10620,0.5322
10640,0.5103
10660,0.577
10680,0.7176
10700,0.8123
10720,0.7413
10740,0.6904
10760,0.6358
10780,0.4825
10800,0.7495
10820,0.933
10840,0.9752
10860,0.9251
10880,0.9615
10900,0.6936
10920,0.6871
10940,0.6612
10960,0.915
10980,1.158
11000,1.6057
11020,1.4173
11040,1.596
11060,1.365
11080,1.2681
11100,1.1029
11120,1.0333
11140,0.7817
11160,0.7677
11180,0.6612
11200,0.3462
11220,0.2598
11240,0.2576
11260,0.1829
11280,0.0644
11300,0.2982
11320,0.4924
11340,0.422
11360,0.3664
11380,0.6315
11400,0.3481
11420,0.3922
11440,0.6977
11460,0.7556
11480,0.487
11500,0.7581
11520,0.5951
11540,0.2823
11560,0.2925
11580,0.5334
11600,0.4842
11620,0.4699
11640,0.5329
11660,0.3585
11680,0.2901
11700,0.4686
11720,0.5039
11740,0.7982
11760,0.9386
11780,0.771
11800,0.5185
11820,0.5723
11840,0.4994
11860,0.5272
11880,0.5777
11900,0.8323
11920,0.8028
11940,0.8704
11960,0.788
11980,0.8588
12000,0.8622
12020,1.1826
12040,1.1762
12060,1.1587
12080,1.1648
12100,0.9247
12120,0.704
12140,0.4837
12160,0.4837
12180,0.5444
12200,0.6844
12220,0.6293
12240,0.5628
12260,0.6868
12280,0.628
12300,0.3562
12320,0.1369
12340,0.1271
12360,0.0801
12380,0.0283
12400,0.1821
12420,0.1698
12440,0.3108
12460,0.4403
12480,0.5691
12500,0.8201
12520,1.1005
12540,1.0337
12560,0.9833
12580,0.9161
12600,0.6451
12620,0.477
12640,0.766
12660,0.6599
12680,0.6582
12700,0.9343
12720,1.0982
12740,0.8971
12760,0.9771
12780,1.0631
12800,0.5465
12820,0.5571
