episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1
nan,nan,nan,nan,0,1280,False,1280,0,1,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-16,1591034596,4.8074634075164795,4.8074634075164795,110969,prophet,129.2.189.146,4.8074634075164795,1280,1,8,24fefd8a,0,1.0,1.0,1,0,1280,4531.186,nan,nan,260.997,0.0,nan,24.82857142857143,15.257142857142858,0.0,8.946144211844696e-05,0.0,0.022100930565497497
-86.31665637064728,-212.15562259266156,-110.2739473826411,67.29268292682927,41,3840,False,5120,41,2,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-17,1591034597,1.5004737377166748,6.307937145233154,110969,prophet,129.2.189.146,6.307937145233154,5120,2,8,24fefd8a,0,1.0,1.0,4,0,5120,1496.269,nan,nan,71.349,0.0,nan,17.75,16.4,0.0,8.946144211844694e-05,0.0,0.022100930565497494
-86.31665637064728,-212.15562259266156,-114.33701760460076,74.93650793650794,22,2560,False,7680,63,3,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-19,1591034599,1.4960477352142334,7.803984880447388,110969,prophet,129.2.189.146,7.803984880447388,7680,3,8,24fefd8a,0,1.0,1.0,6,1024,7680,1165.754,54.339,172.626,49.969,2965.957,512.0,16.2,16.700000000000003,0.0,8.946144211844694e-05,0.0,0.024069434502505368
-86.31665637064728,-212.15562259266156,-112.64350125491018,75.55913978494624,30,2560,False,10240,93,4,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-20,1591034600,1.2860922813415527,9.09007716178894,110969,prophet,129.2.189.146,9.09007716178894,10240,4,8,24fefd8a,0,1.0,1.0,8,2048,10240,1006.577,45.859,116.121,39.375,4409.178,512.0,13.5,16.9,0.0,8.946144211844694e-05,0.0,0.026037938439513242
-86.31665637064728,-212.15562259266156,-112.49916143147227,75.20618556701031,4,2560,False,12800,97,5,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-22,1591034602,1.406975269317627,10.497052431106567,110969,prophet,129.2.189.146,10.497052431106567,12800,5,8,24fefd8a,0,1.0,1.0,10,3072,12800,925.132,43.286,93.522,33.021,5474.674,512.0,17.45,17.0,0.0,8.946144211844694e-05,0.01,0.026037938439513242
-86.31665637064728,-228.71232892153782,-114.89983770799357,74.23,20,2560,False,15360,117,6,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-23,1591034603,1.3869044780731201,11.883956909179688,110969,prophet,129.2.189.146,11.883956909179688,15360,6,8,24fefd8a,0,1.0,1.0,12,4096,15360,541.251,42.454,81.557,7.941,6277.836,512.0,16.15,17.1,0.0,8.946144211844694e-05,0.005,0.026037938439513242
-87.84882102697156,-232.3944134002086,-122.63875629456015,72.39,24,2560,False,17920,141,7,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-24,1591034604,1.3207476139068604,13.204704523086548,110969,prophet,129.2.189.146,13.204704523086548,17920,7,8,24fefd8a,0,1.0,1.0,14,5120,17920,555.884,42.128,74.386,7.648,6883.057,512.0,17.55,17.15,0.0,8.946144211844694e-05,0.0,0.026037938439513242
-87.84882102697156,-232.3944134002086,-125.00991985311731,72.8,5,2560,False,20480,146,8,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-26,1591034606,1.2723569869995117,14.47706151008606,110969,prophet,129.2.189.146,14.47706151008606,20480,8,8,24fefd8a,0,1.0,1.0,16,6144,20480,558.51,42.062,49.13,7.743,10421.374,512.0,13.9,17.2,0.0,8.946144211844694e-05,0.0,0.026037938439513242
-87.84882102697156,-232.48578409827317,-127.5205448282347,77.83,26,2560,False,23040,172,9,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-27,1591034607,1.2944979667663574,15.771559476852417,110969,prophet,129.2.189.146,15.771559476852417,23040,9,8,24fefd8a,0,1.0,1.0,18,7168,23040,558.574,42.567,46.477,10.339,11016.205,512.0,15.950000000000001,17.2,0.0,8.946144211844694e-05,0.0,0.026037938439513242
-90.64040192565882,-232.48578409827317,-133.58678355514306,94.98,35,2560,False,25600,207,10,75bced6310d0496ea28d80fe95ac4420,2020-06-01_14-03-28,1591034608,1.315094232559204,17.08665370941162,110969,prophet,129.2.189.146,17.08665370941162,25600,10,8,24fefd8a,0,1.0,1.0,20,8192,25600,548.894,43.001,46.229,10.391,11075.229,512.0,17.9,17.2,0.0,8.946144211844694e-05,0.0,0.026037938439513242
