episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1
nan,nan,nan,nan,0,1280,False,1280,0,1,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-18-57,1589728737,15.159440040588379,15.159440040588379,11402,gammaumd5,129.2.189.147,15.159440040588379,1280,1,8,a9efaacc,0,1.0,1.0,1,0,1280,11342.421,nan,nan,3783.718,0.0,nan,53.495000000000005,43.605000000000004,0.0,0.0,0.0,0.05499591614484074
-94.50852189352737,-107.65946695068851,-103.04682153377992,52.666666666666664,12,2560,False,3840,12,2,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-18-59,1589728739,1.5283212661743164,16.687761306762695,11402,gammaumd5,129.2.189.147,16.687761306762695,3840,2,8,a9efaacc,0,1.0,1.0,3,0,3840,4247.617,nan,nan,1290.001,0.0,nan,25.75,47.6,0.0,0.0,0.0,0.05499591614484073
-80.48849472356962,-214.96364274341613,-112.56979115298414,69.46808510638297,35,2560,False,6400,47,3,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-02,1589728742,2.844285011291504,19.5320463180542,11402,gammaumd5,129.2.189.147,19.5320463180542,6400,3,8,a9efaacc,0,1.0,1.0,5,512,6400,2834.466,177.588,1045.645,804.022,489.65,512.0,32.925,48.225,0.0,0.0,0.0,0.05576731100825846
-80.48849472356962,-214.96364274341613,-113.22731907830054,72.26923076923077,5,1280,False,7680,52,4,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-03,1589728743,1.1758203506469727,20.707866668701172,11402,gammaumd5,129.2.189.147,20.707866668701172,7680,4,8,a9efaacc,0,1.0,1.0,6,1024,7680,2492.577,150.267,595.764,677.85,859.401,512.0,26.2,49.55,0.0,0.0,0.02,0.07423541156184772
-80.48849472356962,-214.96364274341613,-120.60387764801271,75.9047619047619,11,1280,False,8960,63,5,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-04,1589728744,1.1501786708831787,21.85804533958435,11402,gammaumd5,129.2.189.147,21.85804533958435,8960,5,8,a9efaacc,0,1.0,1.0,7,1536,8960,2251.337,142.282,446.634,586.955,1146.354,512.0,34.8,49.8,0.0,0.0,0.0,0.07423541156184772
-80.48849472356962,-214.96364274341613,-116.65788321604202,77.0609756097561,19,1280,False,10240,82,6,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-05,1589728745,1.2077510356903076,23.065796375274658,11402,gammaumd5,129.2.189.147,23.065796375274658,10240,6,8,a9efaacc,0,1.0,1.0,8,2048,10240,2071.949,137.555,371.643,519.378,1377.667,512.0,27.5,50.0,0.0,0.0,0.005,0.07423541156184772
-80.48849472356962,-214.96364274341613,-119.13897099596448,81.52,21,1280,False,11520,103,7,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-07,1589728747,1.1142420768737793,24.180038452148438,11402,gammaumd5,129.2.189.147,24.180038452148438,11520,7,8,a9efaacc,0,1.0,1.0,9,2560,11520,1927.249,135.991,325.824,465.685,1571.402,512.0,33.7,50.1,0.0,0.0,0.01,0.07423541156184772
-80.48849472356962,-214.96364274341613,-124.13545325395302,83.06,13,1280,False,12800,116,8,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-08,1589728748,1.1115484237670898,25.291586875915527,11402,gammaumd5,129.2.189.147,25.291586875915527,12800,8,8,a9efaacc,0,1.0,1.0,10,3072,12800,1811.539,134.542,296.151,422.772,1728.85,512.0,26.2,50.1,0.0,0.0,0.01,0.07423541156184772
-80.48849472356962,-214.96364274341613,-124.53560854357085,85.95,10,1280,False,14080,126,9,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-09,1589728749,1.2342631816864014,26.52585005760193,11402,gammaumd5,129.2.189.147,26.52585005760193,14080,9,8,a9efaacc,0,1.0,1.0,11,3584,14080,758.102,134.635,276.582,49.541,1851.167,512.0,32.95,50.2,0.0,0.0,0.0,0.07423541156184772
-80.48849472356962,-214.96364274341613,-127.55375166792771,85.7,14,1280,False,15360,140,10,428418d7048a4a0eb04e3aa8fae6d7a9,2020-05-17_15-19-10,1589728750,1.136828899383545,27.662678956985474,11402,gammaumd5,129.2.189.147,27.662678956985474,15360,10,8,a9efaacc,0,1.0,1.0,12,4096,15360,765.279,134.764,259.818,49.669,1970.611,512.0,22.6,50.2,0.0,0.0,0.01,0.07423541156184772
