episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
nan,nan,nan,nan,0,7680,False,7680,0,1,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-11-21,1580850681,11.106666564941406,11.106666564941406,61388,Prophet,10.72.12.27,11.106666564941406,7680,1,8,d961c0f2,0,7680,7680,1809.348,23.039,15.583,55557.815,707.437,1280.0,49.99285714285714,21.485714285714284,0.01642857142857143,0.33220202335439913,0.000699999975040555,905.9256,16476.273,23.893278,616.2284,40.000004,0.022429645
nan,nan,nan,nan,0,11520,False,19200,0,2,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-11-32,1580850692,10.91316819190979,22.019834756851196,61388,Prophet,10.72.12.27,22.019834756851196,19200,2,8,d961c0f2,0,19200,19200,1202.847,6.842,4.629,187082.591,1064.142,1280.0,50.94615384615384,21.969230769230766,0.01384615384615385,0.3368833060258511,0.0006997311720624566,-200.46404,16403.953,24.016644,829.82294,40.0,0.09236795
nan,nan,nan,nan,0,11520,False,30720,0,3,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-11-43,1580850703,10.566275119781494,32.58610987663269,61388,Prophet,10.72.12.27,32.58610987663269,30720,3,8,d961c0f2,0,30720,30720,1164.419,7.203,4.795,177714.745,1099.26,1280.0,51.199999999999996,21.958333333333332,0.009999999999999998,0.3368833060258511,0.0006993280258029699,7252.9443,15699.4795,24.089558,13695.512,39.999996,0.10501909
148.79000000000033,18.93000000000002,57.62359375000025,501.0,64,12800,False,43520,64,4,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-11-53,1580850713,10.835599899291992,43.42170977592468,61388,Prophet,10.72.12.27,43.42170977592468,43520,4,8,d961c0f2,0,43520,43520,1070.563,7.09,4.549,180545.166,1195.633,1280.0,51.43076923076922,22.0,0.010769230769230769,0.3368833060258511,0.0006989248213358223,-3018.6313,12467.913,24.231646,2202.7866,40.0,0.13196397
148.79000000000033,18.93000000000002,57.62359375000025,501.0,0,14080,False,57600,64,5,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-04,1580850724,10.917940378189087,54.33965015411377,61388,Prophet,10.72.12.27,54.33965015411377,57600,5,8,d961c0f2,0,57600,57600,978.518,7.044,4.364,181725.867,1308.101,1280.0,51.469230769230776,22.0,0.009999999999999998,0.3368833060258511,0.0006984767969697714,2372.6865,14170.359,24.21279,8565.904,40.0,0.032206595
208.7499999999995,18.93000000000002,81.3933000000003,501.0,64,12800,False,70400,128,6,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-15,1580850735,10.710554599761963,65.05020475387573,61388,Prophet,10.72.12.27,65.05020475387573,70400,6,8,d961c0f2,0,70400,70400,1058.207,6.846,4.576,186973.783,1209.594,1280.0,51.15384615384615,22.0,0.009999999999999998,0.3368833060258511,0.000697984010912478,5775.782,15641.034,24.245466,15376.367,40.0,0.081246614
208.7499999999995,18.93000000000002,81.3933000000003,501.0,0,12800,False,83200,128,7,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-26,1580850746,10.466925859451294,75.51713061332703,61388,Prophet,10.72.12.27,75.51713061332703,83200,7,8,d961c0f2,0,83200,83200,1033.727,7.131,4.445,179499.058,1238.238,1280.0,50.275000000000006,22.0,0.009999999999999998,0.3368833060258511,0.000697535986546427,2074.1921,15348.738,24.372488,12039.482,40.0,0.07627767
304.869999999999,22.470000000000617,132.52430000000018,501.0,64,14080,False,97280,192,8,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-36,1580850756,10.755048751831055,86.27217936515808,61388,Prophet,10.72.12.27,86.27217936515808,97280,8,8,d961c0f2,0,97280,97280,967.848,7.349,4.387,174174.149,1322.522,1280.0,50.03846153846154,22.0,0.009999999999999998,0.3368833060258511,0.000697088020388037,-10844.229,15371.952,24.447168,14649.514,40.0,-0.2763976
304.869999999999,22.470000000000617,132.52430000000015,501.0,0,12800,False,110080,192,9,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-47,1580850767,10.858826637268066,97.13100600242615,61388,Prophet,10.72.12.27,97.13100600242615,110080,9,8,d961c0f2,0,110080,110080,1072.049,7.684,4.678,166582.656,1193.975,1280.0,50.276923076923076,22.076923076923077,0.008461538461538461,0.3368833060258511,0.0006965951761230826,2353.84,15227.736,24.531773,11618.391,40.0,0.08491528
304.869999999999,22.470000000000617,132.52430000000015,501.0,0,14080,False,124160,192,10,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-12-58,1580850778,10.768895149230957,107.8999011516571,61388,Prophet,10.72.12.27,107.8999011516571,124160,10,8,d961c0f2,0,124160,124160,967.553,7.295,4.467,175464.639,1322.925,1280.0,50.553846153846166,22.1,0.009999999999999998,0.3368833060258511,0.0006961472099646926,399.23267,15593.566,24.612448,11905.877,40.0,0.1287781
